gene_id	junction_id	chromosome	donor_site	acceptor_site	strand	read_count
ENSMUSG00000006333.14	chr7_3704448_3704645_+	chr7	3704448	3704645	+	3367
ENSMUSG00000006333.14	chr7_3704768_3705732_+	chr7	3704768	3705732	+	3580
ENSMUSG00000006333.14	chr7_3705919_3706650_+	chr7	3705919	3706650	+	3906
ENSMUSG00000012848.15	chr7_12925601_12925736_+	chr7	12925601	12925736	+	4763
ENSMUSG00000012848.15	chr7_12925865_12926395_+	chr7	12925865	12926395	+	4358
ENSMUSG00000012848.15	chr7_12926494_12926571_+	chr7	12926494	12926571	+	5166
ENSMUSG00000012848.15	chr7_12922388_12922972_+	chr7	12922388	12922972	+	5572
ENSMUSG00000012848.15	chr7_12923081_12925391_+	chr7	12923081	12925391	+	3054
ENSMUSG00000033916.5	chr7_13032202_13032288_-	chr7	13032288	13032202	-	1047
ENSMUSG00000033916.5	chr7_13032350_13032434_-	chr7	13032434	13032350	-	1247
ENSMUSG00000033916.5	chr7_13032565_13032641_-	chr7	13032641	13032565	-	759
ENSMUSG00000033916.5	chr7_13032821_13033828_-	chr7	13033828	13032821	-	593
ENSMUSG00000033916.5	chr7_13034042_13034634_-	chr7	13034634	13034042	-	710
ENSMUSG00000040811.15	chr7_19203072_19203901_+	chr7	19203072	19203901	+	204
ENSMUSG00000040811.15	chr7_19204032_19206085_+	chr7	19204032	19206085	+	133
ENSMUSG00000064254.6	chr7_24594011_24594417_+	chr7	24594011	24594417	+	308
ENSMUSG00000064254.6	chr7_24594562_24594999_+	chr7	24594562	24594999	+	857
ENSMUSG00000064254.6	chr7_24595148_24606204_+	chr7	24595148	24606204	+	540
ENSMUSG00000064254.6	chr7_24606334_24607867_+	chr7	24606334	24607867	+	920
ENSMUSG00000064254.6	chr7_24607957_24608351_+	chr7	24607957	24608351	+	685
ENSMUSG00000064254.6	chr7_24608468_24608722_+	chr7	24608468	24608722	+	782
ENSMUSG00000089832.8	chr7_27342544_27342645_-	chr7	27342645	27342544	-	355
ENSMUSG00000089832.8	chr7_27342760_27343242_-	chr7	27343242	27342760	-	357
ENSMUSG00000089832.8	chr7_27343421_27344639_-	chr7	27344639	27343421	-	253
ENSMUSG00000089832.8	chr7_27344736_27345172_-	chr7	27345172	27344736	-	357
ENSMUSG00000089832.8	chr7_27345328_27347001_-	chr7	27347001	27345328	-	335
ENSMUSG00000089832.8	chr7_27347172_27348331_-	chr7	27348331	27347172	-	369
ENSMUSG00000089832.8	chr7_27348621_27350491_-	chr7	27350491	27348621	-	315
ENSMUSG00000089832.8	chr7_27350607_27351695_-	chr7	27351695	27350607	-	182
ENSMUSG00000044786.6	chr7_28378493_28379173_-	chr7	28379173	28378493	-	132
ENSMUSG00000060791.15	chr7_28441041_28441433_+	chr7	28441041	28441433	+	669
ENSMUSG00000060791.15	chr7_28441530_28441668_+	chr7	28441530	28441668	+	751
ENSMUSG00000060791.15	chr7_28441718_28443219_+	chr7	28441718	28443219	+	681
ENSMUSG00000060791.15	chr7_28443269_28444852_+	chr7	28443269	28444852	+	563
ENSMUSG00000060791.15	chr7_28444935_28445916_+	chr7	28444935	28445916	+	592
ENSMUSG00000060791.15	chr7_28445990_28446371_+	chr7	28445990	28446371	+	707
ENSMUSG00000030591.17	chr7_29174747_29175410_-	chr7	29175410	29174747	-	754
ENSMUSG00000030591.17	chr7_29175522_29176072_-	chr7	29176072	29175522	-	667
ENSMUSG00000030591.17	chr7_29176173_29177065_-	chr7	29177065	29176173	-	747
ENSMUSG00000030591.17	chr7_29177231_29178918_-	chr7	29178918	29177231	-	769
ENSMUSG00000030591.17	chr7_29179021_29179142_-	chr7	29179142	29179021	-	526
ENSMUSG00000030591.17	chr7_29179215_29180276_-	chr7	29180276	29179215	-	492
ENSMUSG00000030579.10	chr7_30413899_30414341_+	chr7	30413899	30414341	+	3936
ENSMUSG00000030579.10	chr7_30414368_30414503_+	chr7	30414368	30414503	+	2949
ENSMUSG00000030579.10	chr7_30414650_30415631_+	chr7	30414650	30415631	+	2736
ENSMUSG00000030579.10	chr7_30415675_30417343_+	chr7	30415675	30417343	+	3620
ENSMUSG00000036835.7	chr7_30562134_30562323_-	chr7	30562323	30562134	-	392
ENSMUSG00000036835.7	chr7_30562428_30562795_-	chr7	30562795	30562428	-	627
ENSMUSG00000036835.7	chr7_30562938_30563051_-	chr7	30563051	30562938	-	199
ENSMUSG00000009687.14	chr7_31033018_31035208_-	chr7	31035208	31033018	-	687
ENSMUSG00000009687.14	chr7_31035283_31035385_-	chr7	31035385	31035283	-	650
ENSMUSG00000009687.14	chr7_31035415_31036435_-	chr7	31036435	31035415	-	513
ENSMUSG00000009687.14	chr7_31036516_31037820_-	chr7	31037820	31036516	-	484
ENSMUSG00000009687.14	chr7_31037928_31039037_-	chr7	31039037	31037928	-	648
ENSMUSG00000009687.14	chr7_31041457_31042089_-	chr7	31042089	31041457	-	346
ENSMUSG00000036427.5	chr7_34202549_34202636_-	chr7	34202636	34202549	-	957
ENSMUSG00000036427.5	chr7_34202703_34202814_-	chr7	34202814	34202703	-	943
ENSMUSG00000036427.5	chr7_34202890_34204028_-	chr7	34204028	34202890	-	632
ENSMUSG00000036427.5	chr7_34204157_34205567_-	chr7	34205567	34204157	-	912
ENSMUSG00000036427.5	chr7_34205644_34205805_-	chr7	34205805	34205644	-	1079
ENSMUSG00000036427.5	chr7_34205935_34207605_-	chr7	34207605	34205935	-	1171
ENSMUSG00000036427.5	chr7_34207758_34207856_-	chr7	34207856	34207758	-	807
ENSMUSG00000036427.5	chr7_34207900_34208249_-	chr7	34208249	34207900	-	874
ENSMUSG00000036427.5	chr7_34208310_34215955_-	chr7	34215955	34208310	-	688
ENSMUSG00000036427.5	chr7_34216009_34218297_-	chr7	34218297	34216009	-	968
ENSMUSG00000036427.5	chr7_34218342_34219030_-	chr7	34219030	34218342	-	1265
ENSMUSG00000036427.5	chr7_34219102_34220613_-	chr7	34220613	34219102	-	1061
ENSMUSG00000036427.5	chr7_34220760_34220842_-	chr7	34220842	34220760	-	669
ENSMUSG00000036427.5	chr7_34220926_34227117_-	chr7	34227117	34220926	-	722
ENSMUSG00000036427.5	chr7_34227237_34228927_-	chr7	34228927	34227237	-	699
ENSMUSG00000036427.5	chr7_34229373_34230091_-	chr7	34230091	34229373	-	441
ENSMUSG00000050708.16	chr7_45458660_45459083_-	chr7	45459083	45458660	-	21457
ENSMUSG00000030744.13	chr7_99478951_99479273_-	chr7	99479273	99478951	-	3021
ENSMUSG00000030744.13	chr7_99479470_99479875_-	chr7	99479875	99479470	-	12347
ENSMUSG00000030744.13	chr7_99481791_99482260_-	chr7	99482260	99481791	-	5866
ENSMUSG00000030744.13	chr7_99482354_99482569_-	chr7	99482569	99482354	-	3758
ENSMUSG00000030744.13	chr7_99482700_99483591_-	chr7	99483591	99482700	-	5349
ENSMUSG00000033685.13	chr7_100493465_100494213_+	chr7	100493465	100494213	+	1048
ENSMUSG00000033685.13	chr7_100494375_100496725_+	chr7	100494375	100496725	+	1067
ENSMUSG00000033685.13	chr7_100496948_100497094_+	chr7	100496948	100497094	+	2077
ENSMUSG00000033685.13	chr7_100497305_100498077_+	chr7	100497305	100498077	+	2000
ENSMUSG00000033685.13	chr7_100498272_100498347_+	chr7	100498272	100498347	+	2870
ENSMUSG00000033685.13	chr7_100498449_100498735_+	chr7	100498449	100498735	+	2826
ENSMUSG00000033685.13	chr7_100498916_100499235_+	chr7	100498916	100499235	+	3704
ENSMUSG00000008683.16	chr7_118109193_118109932_-	chr7	118109932	118109193	-	1197
ENSMUSG00000008683.16	chr7_118110018_118114784_-	chr7	118114784	118110018	-	961
ENSMUSG00000008683.16	chr7_118114864_118115108_-	chr7	118115108	118114864	-	1175
ENSMUSG00000008683.16	chr7_118115246_118116135_-	chr7	118116135	118115246	-	720
ENSMUSG00000030884.12	chr7_120651384_120653980_+	chr7	120651384	120653980	+	529
ENSMUSG00000030884.12	chr7_120635322_120637661_+	chr7	120635322	120637661	+	277
ENSMUSG00000030884.12	chr7_120637745_120637847_+	chr7	120637745	120637847	+	259
ENSMUSG00000030884.12	chr7_120637997_120640233_+	chr7	120637997	120640233	+	378
ENSMUSG00000030884.12	chr7_120640298_120641678_+	chr7	120640298	120641678	+	361
ENSMUSG00000030884.12	chr7_120641735_120643025_+	chr7	120641735	120643025	+	407
ENSMUSG00000030884.12	chr7_120643150_120645150_+	chr7	120643150	120645150	+	416
ENSMUSG00000030884.12	chr7_120645248_120649345_+	chr7	120645248	120649345	+	576
ENSMUSG00000030884.12	chr7_120649403_120650833_+	chr7	120649403	120650833	+	551
ENSMUSG00000030884.12	chr7_120650929_120651184_+	chr7	120650929	120651184	+	399
ENSMUSG00000030884.12	chr7_120654061_120656100_+	chr7	120654061	120656100	+	565
ENSMUSG00000030884.12	chr7_120656177_120657516_+	chr7	120656177	120657516	+	442
ENSMUSG00000030884.12	chr7_120657670_120659020_+	chr7	120657670	120659020	+	329
ENSMUSG00000030707.15	chr7_126699985_126700256_-	chr7	126700256	126699985	-	2359
ENSMUSG00000030707.15	chr7_126700472_126700583_-	chr7	126700583	126700472	-	2865
ENSMUSG00000030707.15	chr7_126700641_126700739_-	chr7	126700739	126700641	-	3129
ENSMUSG00000030707.15	chr7_126700885_126700991_-	chr7	126700991	126700885	-	2865
ENSMUSG00000030707.15	chr7_126701096_126701289_-	chr7	126701289	126701096	-	2624
ENSMUSG00000030707.15	chr7_126701409_126701517_-	chr7	126701517	126701409	-	2298
ENSMUSG00000030707.15	chr7_126701702_126701789_-	chr7	126701789	126701702	-	2844
ENSMUSG00000030707.15	chr7_126701919_126702005_-	chr7	126702005	126701919	-	3004
ENSMUSG00000030707.15	chr7_126702128_126702975_-	chr7	126702975	126702128	-	2002
ENSMUSG00000030707.15	chr7_126703174_126704651_-	chr7	126704651	126703174	-	1664
ENSMUSG00000042675.15	chr7_126777103_126777770_+	chr7	126777103	126777770	+	302
ENSMUSG00000042675.15	chr7_126777953_126778053_+	chr7	126777953	126778053	+	182
ENSMUSG00000042675.15	chr7_126778097_126778305_+	chr7	126778097	126778305	+	259
ENSMUSG00000042675.15	chr7_126778414_126780026_+	chr7	126778414	126780026	+	366
ENSMUSG00000030695.16	chr7_126795514_126795612_-	chr7	126795612	126795514	-	2348
ENSMUSG00000030695.16	chr7_126795812_126795949_-	chr7	126795949	126795812	-	2780
ENSMUSG00000030695.16	chr7_126796124_126796216_-	chr7	126796216	126796124	-	2842
ENSMUSG00000030695.16	chr7_126796300_126796594_-	chr7	126796594	126796300	-	2635
ENSMUSG00000030695.16	chr7_126796755_126796853_-	chr7	126796853	126796755	-	3909
ENSMUSG00000030695.16	chr7_126796908_126797336_-	chr7	126797336	126796908	-	3496
ENSMUSG00000060538.14	chr7_126886315_126888890_-	chr7	126888890	126886315	-	99
ENSMUSG00000060538.14	chr7_126891832_126896748_-	chr7	126896748	126891832	-	157
ENSMUSG00000060538.14	chr7_126896938_126897025_-	chr7	126897025	126896938	-	120
ENSMUSG00000025492.6	chr7_141009889_141010396_-	chr7	141010396	141009889	-	2024
ENSMUSG00000025503.5	chr7_141392318_141396048_+	chr7	141392318	141396048	+	1090
ENSMUSG00000025503.5	chr7_141396172_141398494_+	chr7	141396172	141398494	+	937
ENSMUSG00000025503.5	chr7_141398602_141400287_+	chr7	141398602	141400287	+	817
ENSMUSG00000025503.5	chr7_141400419_141401580_+	chr7	141400419	141401580	+	1426
ENSMUSG00000025503.5	chr7_141401756_141401871_+	chr7	141401756	141401871	+	1213
ENSMUSG00000025503.5	chr7_141402069_141402183_+	chr7	141402069	141402183	+	1124
ENSMUSG00000025503.5	chr7_141402329_141402743_+	chr7	141402329	141402743	+	1536
ENSMUSG00000025508.13	chr7_141447707_141447907_+	chr7	141447707	141447907	+	2208
ENSMUSG00000025508.13	chr7_141448031_141448725_+	chr7	141448031	141448725	+	1459
ENSMUSG00000025508.13	chr7_141448774_141451003_+	chr7	141448774	141451003	+	1566
ENSMUSG00000025508.13	chr7_141451102_141451231_+	chr7	141451102	141451231	+	2014
ENSMUSG00000007891.16	chr7_142383541_142385458_-	chr7	142385458	142383541	-	3904
ENSMUSG00000007891.16	chr7_142385618_142387736_-	chr7	142387736	142385618	-	2796
ENSMUSG00000018819.10	chr7_142460966_142484478_+	chr7	142460966	142484478	+	1487
ENSMUSG00000018819.10	chr7_142484625_142486346_+	chr7	142484625	142486346	+	1247
ENSMUSG00000018819.10	chr7_142486505_142488418_+	chr7	142486505	142488418	+	1706
ENSMUSG00000018819.10	chr7_142488940_142489128_+	chr7	142488940	142489128	+	1921
ENSMUSG00000018819.10	chr7_142489172_142489324_+	chr7	142489172	142489324	+	2137
ENSMUSG00000018819.10	chr7_142489406_142489899_+	chr7	142489406	142489899	+	2398
ENSMUSG00000018819.10	chr7_142490034_142490344_+	chr7	142490034	142490344	+	2492
ENSMUSG00000018819.10	chr7_142490422_142490558_+	chr7	142490422	142490558	+	2633
ENSMUSG00000018819.10	chr7_142490665_142494235_+	chr7	142490665	142494235	+	1616
ENSMUSG00000037706.17	chr7_143065306_143065942_+	chr7	143065306	143065942	+	3083
ENSMUSG00000037706.17	chr7_143053066_143062492_+	chr7	143053066	143062492	+	1773
ENSMUSG00000037706.17	chr7_143062607_143065208_+	chr7	143062607	143065208	+	2697
ENSMUSG00000037706.17	chr7_143066017_143066247_+	chr7	143066017	143066247	+	2585
ENSMUSG00000037706.17	chr7_143066352_143066660_+	chr7	143066352	143066660	+	3713
ENSMUSG00000037706.17	chr7_143066762_143067146_+	chr7	143066762	143067146	+	2962
ENSMUSG00000037706.17	chr7_143067233_143067311_+	chr7	143067233	143067311	+	3559
ENSMUSG00000087687.3	chr8_3621611_3622341_+	chr8	3621611	3622341	+	121
ENSMUSG00000087687.3	chr8_3622428_3622592_+	chr8	3622428	3622592	+	94
ENSMUSG00000087687.3	chr8_3622625_3623223_+	chr8	3622625	3623223	+	90
ENSMUSG00000040028.10	chr8_4289924_4295335_-	chr8	4295335	4289924	-	98
ENSMUSG00000040028.10	chr8_4295561_4301684_-	chr8	4301684	4295561	-	92
ENSMUSG00000040028.10	chr8_4301838_4304926_-	chr8	4304926	4301838	-	75
ENSMUSG00000040028.10	chr8_4305030_4311598_-	chr8	4311598	4305030	-	75
ENSMUSG00000040028.10	chr8_4311786_4324885_-	chr8	4324885	4311786	-	41
ENSMUSG00000031479.9	chr8_22198966_22202273_+	chr8	22198966	22202273	+	26
ENSMUSG00000031584.16	chr8_33682679_33685543_+	chr8	33682679	33685543	+	92
ENSMUSG00000031584.16	chr8_33685702_33689340_+	chr8	33685702	33689340	+	50
ENSMUSG00000031584.16	chr8_33689452_33693798_+	chr8	33689452	33693798	+	144
ENSMUSG00000031584.16	chr8_33693930_33694998_+	chr8	33693930	33694998	+	102
ENSMUSG00000031584.16	chr8_33695132_33697145_+	chr8	33695132	33697145	+	75
ENSMUSG00000031584.16	chr8_33681564_33682592_+	chr8	33681564	33682592	+	151
ENSMUSG00000031513.8	chr8_34137838_34138853_-	chr8	34138853	34137838	-	408
ENSMUSG00000031513.8	chr8_34139040_34140760_-	chr8	34140760	34139040	-	394
ENSMUSG00000031513.8	chr8_34140836_34146684_-	chr8	34146684	34140836	-	224
ENSMUSG00000054717.7	chr8_57512748_57513061_+	chr8	57512748	57513061	+	2286
ENSMUSG00000054717.7	chr8_57513207_57513289_+	chr8	57513207	57513289	+	2634
ENSMUSG00000054717.7	chr8_57513464_57513965_+	chr8	57513464	57513965	+	2720
ENSMUSG00000036199.9	chr8_69894410_69894503_-	chr8	69894503	69894410	-	783
ENSMUSG00000036199.9	chr8_69894575_69895241_-	chr8	69895241	69894575	-	819
ENSMUSG00000036199.9	chr8_69895320_69901541_-	chr8	69901541	69895320	-	867
ENSMUSG00000055681.14	chr8_70302932_70304633_+	chr8	70302932	70304633	+	441
ENSMUSG00000055681.14	chr8_70310491_70311627_+	chr8	70310491	70311627	+	697
ENSMUSG00000055681.14	chr8_70304696_70305634_+	chr8	70304696	70305634	+	902
ENSMUSG00000055681.14	chr8_70305735_70306498_+	chr8	70305735	70306498	+	730
ENSMUSG00000055681.14	chr8_70306651_70307949_+	chr8	70306651	70307949	+	576
ENSMUSG00000055681.14	chr8_70308003_70308494_+	chr8	70308003	70308494	+	577
ENSMUSG00000055681.14	chr8_70308576_70310335_+	chr8	70308576	70310335	+	824
ENSMUSG00000055681.14	chr8_70311696_70312705_+	chr8	70311696	70312705	+	711
ENSMUSG00000055681.14	chr8_70312780_70312858_+	chr8	70312780	70312858	+	536
ENSMUSG00000045128.9	chr8_70895709_70895915_-	chr8	70895915	70895709	-	10090
ENSMUSG00000045128.9	chr8_70896045_70896132_-	chr8	70896132	70896045	-	7920
ENSMUSG00000045128.9	chr8_70896312_70897358_-	chr8	70897358	70896312	-	9896
ENSMUSG00000031799.9	chr8_72135453_72138587_+	chr8	72135453	72138587	+	117
ENSMUSG00000031799.9	chr8_72144748_72146451_+	chr8	72144748	72146451	+	295
ENSMUSG00000031799.9	chr8_72146527_72147056_+	chr8	72146527	72147056	+	209
ENSMUSG00000031799.9	chr8_72147119_72147197_+	chr8	72147119	72147197	+	175
ENSMUSG00000031799.9	chr8_72147267_72151741_+	chr8	72147267	72151741	+	248
ENSMUSG00000031799.9	chr8_72143567_72144677_+	chr8	72143567	72144677	+	218
ENSMUSG00000031708.16	chr8_83571935_83572012_-	chr8	83572012	83571935	-	1084
ENSMUSG00000031708.16	chr8_83572058_83572231_-	chr8	83572231	83572058	-	1236
ENSMUSG00000031708.16	chr8_83572320_83572397_-	chr8	83572397	83572320	-	1240
ENSMUSG00000031708.16	chr8_83572455_83572548_-	chr8	83572548	83572455	-	1311
ENSMUSG00000031708.16	chr8_83572592_83572680_-	chr8	83572680	83572592	-	1575
ENSMUSG00000031708.16	chr8_83572753_83572840_-	chr8	83572840	83572753	-	1814
ENSMUSG00000031708.16	chr8_83572946_83573027_-	chr8	83573027	83572946	-	1115
ENSMUSG00000031708.16	chr8_83573143_83573219_-	chr8	83573219	83573143	-	653
ENSMUSG00000031708.16	chr8_83573323_83573410_-	chr8	83573410	83573323	-	615
ENSMUSG00000031708.16	chr8_83573455_83573870_-	chr8	83573870	83573455	-	383
ENSMUSG00000031708.16	chr8_83573922_83574477_-	chr8	83574477	83573922	-	492
ENSMUSG00000031708.16	chr8_83574528_83594339_-	chr8	83594339	83574528	-	476
ENSMUSG00000019362.8	chr8_84246693_84249473_-	chr8	84249473	84246693	-	626
ENSMUSG00000019362.8	chr8_84249529_84249615_-	chr8	84249615	84249529	-	575
ENSMUSG00000033192.5	chr8_92855625_92864900_+	chr8	92855625	92864900	+	196
ENSMUSG00000033192.5	chr8_92865040_92869647_+	chr8	92865040	92869647	+	183
ENSMUSG00000033192.5	chr8_92869865_92871137_+	chr8	92869865	92871137	+	210
ENSMUSG00000033192.5	chr8_92871250_92873047_+	chr8	92871250	92873047	+	133
ENSMUSG00000033192.5	chr8_92873108_92874232_+	chr8	92873108	92874232	+	201
ENSMUSG00000033192.5	chr8_92874291_92875554_+	chr8	92874291	92875554	+	298
ENSMUSG00000033192.5	chr8_92890826_92909186_+	chr8	92890826	92909186	+	213
ENSMUSG00000033192.5	chr8_92909285_92914242_+	chr8	92909285	92914242	+	204
ENSMUSG00000033192.5	chr8_92914378_92918034_+	chr8	92914378	92918034	+	217
ENSMUSG00000039067.5	chr8_107581319_107582381_-	chr8	107582381	107581319	-	343
ENSMUSG00000039067.5	chr8_107582473_107584172_-	chr8	107584172	107582473	-	324
ENSMUSG00000039067.5	chr8_107584253_107584862_-	chr8	107584862	107584253	-	474
ENSMUSG00000039067.5	chr8_107584960_107585704_-	chr8	107585704	107584960	-	274
ENSMUSG00000039067.5	chr8_107585797_107586624_-	chr8	107586624	107585797	-	374
ENSMUSG00000039067.5	chr8_107586716_107588278_-	chr8	107588278	107586716	-	309
ENSMUSG00000034390.16	chr8_117455744_117456886_+	chr8	117455744	117456886	+	284
ENSMUSG00000034390.16	chr8_117456957_117459328_+	chr8	117456957	117459328	+	409
ENSMUSG00000034390.16	chr8_117426570_117429712_+	chr8	117426570	117429712	+	129
ENSMUSG00000034390.16	chr8_117429816_117431193_+	chr8	117429816	117431193	+	216
ENSMUSG00000034390.16	chr8_117431298_117436565_+	chr8	117431298	117436565	+	387
ENSMUSG00000034390.16	chr8_117436919_117445315_+	chr8	117436919	117445315	+	226
ENSMUSG00000034390.16	chr8_117445381_117447070_+	chr8	117445381	117447070	+	254
ENSMUSG00000034390.16	chr8_117447097_117447399_+	chr8	117447097	117447399	+	278
ENSMUSG00000034390.16	chr8_117447448_117449029_+	chr8	117447448	117449029	+	321
ENSMUSG00000034390.16	chr8_117449137_117452159_+	chr8	117449137	117452159	+	300
ENSMUSG00000034390.16	chr8_117452276_117453079_+	chr8	117452276	117453079	+	215
ENSMUSG00000034390.16	chr8_117453220_117453822_+	chr8	117453220	117453822	+	239
ENSMUSG00000034390.16	chr8_117453870_117454899_+	chr8	117453870	117454899	+	441
ENSMUSG00000034390.16	chr8_117455046_117455638_+	chr8	117455046	117455638	+	383
ENSMUSG00000031827.13	chr8_119810355_119822653_-	chr8	119822653	119810355	-	1008
ENSMUSG00000031827.13	chr8_119822811_119840141_-	chr8	119840141	119822811	-	889
ENSMUSG00000031827.13	chr8_119840224_119840323_-	chr8	119840323	119840224	-	672
ENSMUSG00000031818.12	chr8_120668355_120669308_+	chr8	120668355	120669308	+	3470
ENSMUSG00000031818.12	chr8_120669382_120672724_+	chr8	120669382	120672724	+	2134
ENSMUSG00000031818.12	chr8_120672892_120673220_+	chr8	120672892	120673220	+	2432
ENSMUSG00000031818.12	chr8_120673352_120673970_+	chr8	120673352	120673970	+	3334
ENSMUSG00000031812.16	chr8_121590564_121593489_+	chr8	121590564	121593489	+	660
ENSMUSG00000031812.16	chr8_121593545_121595985_+	chr8	121593545	121595985	+	561
ENSMUSG00000031812.16	chr8_121596092_121596595_+	chr8	121596092	121596595	+	763
ENSMUSG00000006519.11	chr8_122425087_122426185_-	chr8	122426185	122425087	-	1816
ENSMUSG00000006519.11	chr8_122426267_122426935_-	chr8	122426935	122426267	-	2534
ENSMUSG00000006519.11	chr8_122427019_122427228_-	chr8	122427228	122427019	-	2585
ENSMUSG00000006519.11	chr8_122427303_122427654_-	chr8	122427654	122427303	-	2359
ENSMUSG00000006519.11	chr8_122427724_122432809_-	chr8	122432809	122427724	-	2218
ENSMUSG00000000740.12	chr8_123102445_123102652_+	chr8	123102445	123102652	+	9327
ENSMUSG00000000740.12	chr8_123102762_123102844_+	chr8	123102762	123102844	+	5815
ENSMUSG00000000740.12	chr8_123102986_123103182_+	chr8	123102986	123103182	+	7894
ENSMUSG00000000740.12	chr8_123103356_123103897_+	chr8	123103356	123103897	+	8013
ENSMUSG00000000740.12	chr8_123103954_123105043_+	chr8	123103954	123105043	+	6485
ENSMUSG00000033335.17	chr9_21504662_21505463_+	chr9	21504662	21505463	+	381
ENSMUSG00000033335.17	chr9_21489794_21490657_+	chr9	21489794	21490657	+	237
ENSMUSG00000033335.17	chr9_21490669_21494503_+	chr9	21490669	21494503	+	229
ENSMUSG00000033335.17	chr9_21494617_21499257_+	chr9	21494617	21499257	+	167
ENSMUSG00000057191.13	chr9_21526307_21528762_+	chr9	21526307	21528762	+	398
ENSMUSG00000057191.13	chr9_21539114_21539841_+	chr9	21539114	21539841	+	688
ENSMUSG00000057191.13	chr9_21539885_21540585_+	chr9	21539885	21540585	+	566
ENSMUSG00000057191.13	chr9_21540623_21544676_+	chr9	21540623	21544676	+	429
ENSMUSG00000032239.10	chr9_22448854_22449801_-	chr9	22449801	22448854	-	340
ENSMUSG00000032239.10	chr9_22449863_22453778_-	chr9	22453778	22449863	-	279
ENSMUSG00000032239.10	chr9_22453870_22457372_-	chr9	22457372	22453870	-	227
ENSMUSG00000032239.10	chr9_22457502_22458710_-	chr9	22458710	22457502	-	192
ENSMUSG00000032239.10	chr9_22458741_22468073_-	chr9	22468073	22458741	-	177
ENSMUSG00000015656.17	chr9_40802127_40802417_+	chr9	40802127	40802417	+	1162
ENSMUSG00000015656.17	chr9_40802623_40802738_+	chr9	40802623	40802738	+	1823
ENSMUSG00000015656.17	chr9_40802891_40802973_+	chr9	40802891	40802973	+	1921
ENSMUSG00000015656.17	chr9_40803529_40803739_+	chr9	40803529	40803739	+	1907
ENSMUSG00000015656.17	chr9_40803942_40804164_+	chr9	40803942	40804164	+	3118
ENSMUSG00000015656.17	chr9_40804363_40804462_+	chr9	40804363	40804462	+	2450
ENSMUSG00000015656.17	chr9_40804695_40804931_+	chr9	40804695	40804931	+	2477
ENSMUSG00000038717.8	chr9_44913466_44914650_-	chr9	44914650	44913466	-	1621
ENSMUSG00000038717.8	chr9_44914811_44920609_-	chr9	44920609	44914811	-	1687
ENSMUSG00000037493.6	chr9_54545484_54545888_-	chr9	54545888	54545484	-	633
ENSMUSG00000037493.6	chr9_54546084_54548332_-	chr9	54548332	54546084	-	392
ENSMUSG00000025232.8	chr9_59539976_59554132_+	chr9	59539976	59554132	+	371
ENSMUSG00000025232.8	chr9_59554225_59555338_+	chr9	59554225	59555338	+	447
ENSMUSG00000025232.8	chr9_59555404_59556871_+	chr9	59555404	59556871	+	677
ENSMUSG00000025232.8	chr9_59556918_59557287_+	chr9	59556918	59557287	+	758
ENSMUSG00000025232.8	chr9_59557398_59558033_+	chr9	59557398	59558033	+	719
ENSMUSG00000025232.8	chr9_59558135_59559323_+	chr9	59558135	59559323	+	832
ENSMUSG00000025232.8	chr9_59559456_59560896_+	chr9	59559456	59560896	+	784
ENSMUSG00000025232.8	chr9_59561077_59561942_+	chr9	59561077	59561942	+	701
ENSMUSG00000025232.8	chr9_59562026_59562295_+	chr9	59562026	59562295	+	689
ENSMUSG00000025232.8	chr9_59562368_59562866_+	chr9	59562368	59562866	+	817
ENSMUSG00000025232.8	chr9_59563050_59563223_+	chr9	59563050	59563223	+	1037
ENSMUSG00000025232.8	chr9_59563314_59563882_+	chr9	59563314	59563882	+	743
ENSMUSG00000025232.8	chr9_59563987_59564820_+	chr9	59563987	59564820	+	675
ENSMUSG00000032294.17	chr9_59656649_59665199_+	chr9	59656649	59665199	+	774
ENSMUSG00000032294.17	chr9_59665366_59665862_+	chr9	59665366	59665862	+	986
ENSMUSG00000032294.17	chr9_59665954_59668548_+	chr9	59665954	59668548	+	1211
ENSMUSG00000032294.17	chr9_59668680_59668912_+	chr9	59668680	59668912	+	1029
ENSMUSG00000032294.17	chr9_59669099_59670466_+	chr9	59669099	59670466	+	1398
ENSMUSG00000032294.17	chr9_59670737_59671574_+	chr9	59670737	59671574	+	1135
ENSMUSG00000032294.17	chr9_59671725_59671920_+	chr9	59671725	59671920	+	1776
ENSMUSG00000032294.17	chr9_59672073_59675567_+	chr9	59672073	59675567	+	1940
ENSMUSG00000032294.17	chr9_59678225_59678727_+	chr9	59678225	59678727	+	1906
ENSMUSG00000032399.8	chr9_64173433_64174823_+	chr9	64173433	64174823	+	3821
ENSMUSG00000032399.8	chr9_64174995_64175193_+	chr9	64174995	64175193	+	3003
ENSMUSG00000032399.8	chr9_64175300_64175583_+	chr9	64175300	64175583	+	3912
ENSMUSG00000032399.8	chr9_64175722_64176091_+	chr9	64175722	64176091	+	4415
ENSMUSG00000032399.8	chr9_64176216_64176940_+	chr9	64176216	64176940	+	3726
ENSMUSG00000032399.8	chr9_64177070_64177320_+	chr9	64177070	64177320	+	4066
ENSMUSG00000032399.8	chr9_64177477_64177720_+	chr9	64177477	64177720	+	4745
ENSMUSG00000032399.8	chr9_64177804_64177896_+	chr9	64177804	64177896	+	4261
ENSMUSG00000032399.8	chr9_64178017_64178222_+	chr9	64178017	64178222	+	2937
